d1: -35.7632, 1.6256, -11.3792
d2: -26.0096, 1.6256, -11.3792
d3: -35.7632, 4.8768, -6.5024
d4: -26.0096, 1.8288, -6.5024
d1: -35.5632, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.5836, 4.8768, -6.59037
d4: -26.0096, 1.9348, -6.3328
d1: -35.3887, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.4269, 4.8768, -6.66713
d4: -26.0096, 2.02728, -6.18483
d1: -35.3463, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.3888, 4.8768, -6.68578
d4: -26.0096, 2.04976, -6.14887
d1: -35.3114, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.3574, 4.8768, -6.70115
d4: -26.0096, 2.06827, -6.11925
d1: -35.2751, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.3248, 4.8768, -6.71712
d4: -26.0096, 2.08752, -6.08845
d1: -35.2382, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.2917, 4.8768, -6.73332
d4: -26.0096, 2.10704, -6.05722
d1: -35.2051, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.262, 4.8768, -6.74788
d4: -26.0096, 2.12458, -6.02916
d1: -35.1689, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.2295, 4.8768, -6.76381
d4: -26.0096, 2.14378, -5.99844
d1: -35.136, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.1999, 4.8768, -6.77829
d4: -26.0096, 2.16123, -5.97052
d1: -35.0994, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.1671, 4.8768, -6.79438
d4: -26.0096, 2.18061, -5.9395
d1: -35.0683, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.1392, 4.8768, -6.80805
d4: -26.0096, 2.19709, -5.91314
d1: -35.0313, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.1059, 4.8768, -6.82433
d4: -26.0096, 2.2167, -5.88176
d1: -34.9991, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.077, 4.8768, -6.83851
d4: -26.0096, 2.23378, -5.85443
d1: -34.9633, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.0448, 4.8768, -6.85426
d4: -26.0096, 2.25276, -5.82406
d1: -34.9324, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -35.0171, 4.8768, -6.86783
d4: -26.0096, 2.26911, -5.7979
d1: -34.8979, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.9861, 4.8768, -6.883
d4: -26.0096, 2.28739, -5.76866
d1: -34.8674, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.9587, 4.8768, -6.89644
d4: -26.0096, 2.30358, -5.74276
d1: -34.8327, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.9275, 4.8768, -6.9117
d4: -26.0096, 2.32197, -5.71333
d1: -34.8019, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -34.8999, 4.8768, -6.92523
d4: -26.0096, 2.33827, -5.68725
d1: -34.7663, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
